iter	Passed	Remaining
427	1741	2327
428	1748	2326
429	1752	2322
430	1755	2317
431	1759	2313
432	1764	2310
433	1768	2306
434	1773	2303
435	1777	2299
436	1781	2294
437	1784	2290
438	1788	2285
439	1793	2283
440	1797	2277
441	1800	2272
442	1803	2267
443	1808	2265
444	1812	2260
445	1815	2255
446	1818	2250
447	1824	2248
448	1828	2243
449	1831	2238
450	1834	2233
451	1839	2230
452	1843	2225
453	1846	2220
454	1849	2215
455	1855	2213
456	1860	2210
457	1863	2205
458	1867	2200
459	1870	2196
460	1874	2191
461	1877	2186
462	1881	2181
463	1886	2179
464	1889	2174
465	1893	2169
466	1896	2164
467	1901	2161
468	1904	2156
469	1907	2151
470	1910	2146
471	1915	2142
472	1918	2137
473	1922	2133
474	1925	2128
475	1930	2124
476	1933	2120
477	1937	2115
478	1940	2110
479	1946	2108
480	1950	2104
481	1953	2099
482	1958	2096
483	1961	2091
484	1965	2087
485	1968	2082
486	1972	2077
487	1978	2075
488	1981	2070
489	1984	2065
490	1988	2061
491	1994	2058
492	1997	2053
493	2000	2049
494	2003	2044
495	2009	2041
496	2012	2036
497	2015	2032
498	2019	2027
499	2024	2024
500	2027	2019
501	2030	2014
502	2035	2010
503	2040	2008
504	2043	2003
505	2046	1998
506	2050	1993
507	2054	1989
508	2057	1984
509	2060	1980
510	2064	1975
511	2067	1970
512	2072	1967
513	2075	1962
514	2079	1958
515	2082	1953
516	2087	1950
517	2091	1945
518	2094	1941
519	2097	1936
520	2103	1933
521	2106	1929
522	2109	1923
523	2112	1919
524	2118	1916
525	2122	1912
526	2125	1907
527	2129	1903
528	2134	1900
529	2138	1896
530	2141	1891
531	2145	1887
532	2149	1883
533	2152	1878
534	2155	1873
535	2159	1869
536	2164	1866
537	2168	1861
538	2171	1857
539	2174	1852
540	2180	1849
541	2183	1845
542	2187	1840
543	2191	1837
544	2197	1834
545	2201	1830
546	2204	1825
547	2209	1822
548	2214	1819
549	2218	1814
550	2221	1810
551	2226	1807
552	2229	1802
553	2234	1799
554	2239	1795
555	2242	1790
556	2246	1786
557	2249	1782
558	2253	1777
559	2258	1774
560	2261	1769
561	2264	1765
562	2268	1760
563	2273	1757
564	2277	1753
565	2280	1748
566	2284	1744
567	2289	1741
568	2292	1736
569	2296	1732
570	2299	1727
571	2304	1724
572	2308	1720
573	2311	1715
574	2314	1710
575	2320	1708
576	2324	1703
577	2327	1699
578	2330	1694
579	2335	1690
580	2338	1686
581	2342	1682
582	2345	1677
